INFO:root:Number of parameters: 369498
INFO:root:201: Acc-tr: 100.00, Acc-val:  13.83, L-tr: 0.0010, L-val: 7.6194
INFO:root:202: Acc-tr: 100.00, Acc-val:  13.76, L-tr: 0.0010, L-val: 7.5900
INFO:root:203: Acc-tr: 100.00, Acc-val:  13.83, L-tr: 0.0010, L-val: 7.5891
INFO:root:204: Acc-tr: 100.00, Acc-val:  13.87, L-tr: 0.0010, L-val: 7.5803
INFO:root:205: Acc-tr: 100.00, Acc-val:  13.97, L-tr: 0.0010, L-val: 7.5657
INFO:root:206: Acc-tr: 100.00, Acc-val:  13.91, L-tr: 0.0010, L-val: 7.5514
INFO:root:207: Acc-tr: 100.00, Acc-val:  13.88, L-tr: 0.0010, L-val: 7.5530
INFO:root:208: Acc-tr: 100.00, Acc-val:  13.94, L-tr: 0.0010, L-val: 7.5665
INFO:root:209: Acc-tr: 100.00, Acc-val:  13.69, L-tr: 0.0010, L-val: 7.5422
INFO:root:210: Acc-tr: 100.00, Acc-val:  13.82, L-tr: 0.0009, L-val: 7.5464
INFO:root:211: Acc-tr: 100.00, Acc-val:  13.86, L-tr: 0.0010, L-val: 7.5318
INFO:root:212: Acc-tr: 100.00, Acc-val:  13.81, L-tr: 0.0010, L-val: 7.5033
INFO:root:213: Acc-tr: 100.00, Acc-val:  13.92, L-tr: 0.0010, L-val: 7.4958
INFO:root:214: Acc-tr: 100.00, Acc-val:  14.05, L-tr: 0.0009, L-val: 7.5277
INFO:root:215: Acc-tr: 100.00, Acc-val:  13.95, L-tr: 0.0010, L-val: 7.5102
INFO:root:216: Acc-tr: 100.00, Acc-val:  13.80, L-tr: 0.0009, L-val: 7.4648
INFO:root:217: Acc-tr: 100.00, Acc-val:  13.99, L-tr: 0.0010, L-val: 7.4761
INFO:root:218: Acc-tr: 100.00, Acc-val:  13.95, L-tr: 0.0009, L-val: 7.4698
INFO:root:219: Acc-tr: 100.00, Acc-val:  13.75, L-tr: 0.0010, L-val: 7.4300
INFO:root:220: Acc-tr: 100.00, Acc-val:  13.96, L-tr: 0.0009, L-val: 7.4457
INFO:root:221: Acc-tr: 100.00, Acc-val:  13.95, L-tr: 0.0009, L-val: 7.4340
INFO:root:222: Acc-tr: 100.00, Acc-val:  13.93, L-tr: 0.0010, L-val: 7.3994
INFO:root:223: Acc-tr: 100.00, Acc-val:  13.91, L-tr: 0.0009, L-val: 7.4463
INFO:root:224: Acc-tr: 100.00, Acc-val:  13.85, L-tr: 0.0009, L-val: 7.4172
INFO:root:225: Acc-tr: 100.00, Acc-val:  13.97, L-tr: 0.0009, L-val: 7.3987
INFO:root:226: Acc-tr: 100.00, Acc-val:  14.09, L-tr: 0.0009, L-val: 7.4474
INFO:root:227: Acc-tr: 100.00, Acc-val:  13.94, L-tr: 0.0010, L-val: 7.3646
INFO:root:228: Acc-tr: 100.00, Acc-val:  13.97, L-tr: 0.0009, L-val: 7.4284
