INFO:root:Number of parameters: 369498
INFO:root:233: Acc-tr: 100.00, Acc-val:   9.89, L-tr: 0.0007, L-val: 11.5699
INFO:root:234: Acc-tr: 100.00, Acc-val:   9.81, L-tr: 0.0007, L-val: 11.8379
INFO:root:235: Acc-tr: 100.00, Acc-val:   9.80, L-tr: 0.0007, L-val: 11.6712
INFO:root:236: Acc-tr: 100.00, Acc-val:   9.82, L-tr: 0.0007, L-val: 11.7087
INFO:root:237: Acc-tr: 100.00, Acc-val:   9.80, L-tr: 0.0007, L-val: 11.7275
INFO:root:238: Acc-tr: 100.00, Acc-val:   9.76, L-tr: 0.0007, L-val: 11.8067
INFO:root:239: Acc-tr: 100.00, Acc-val:   9.73, L-tr: 0.0007, L-val: 11.7395
INFO:root:240: Acc-tr: 100.00, Acc-val:   9.82, L-tr: 0.0007, L-val: 11.6380
INFO:root:241: Acc-tr: 100.00, Acc-val:   9.85, L-tr: 0.0007, L-val: 11.7442
INFO:root:242: Acc-tr: 100.00, Acc-val:   9.92, L-tr: 0.0007, L-val: 11.6337
INFO:root:243: Acc-tr: 100.00, Acc-val:   9.94, L-tr: 0.0007, L-val: 11.8847
INFO:root:244: Acc-tr: 100.00, Acc-val:   9.86, L-tr: 0.0007, L-val: 11.5804
INFO:root:245: Acc-tr: 100.00, Acc-val:   9.88, L-tr: 0.0007, L-val: 11.7928
INFO:root:246: Acc-tr: 100.00, Acc-val:   9.79, L-tr: 0.0007, L-val: 11.7479
INFO:root:247: Acc-tr: 100.00, Acc-val:   9.86, L-tr: 0.0007, L-val: 11.6296
INFO:root:248: Acc-tr: 100.00, Acc-val:   9.76, L-tr: 0.0007, L-val: 11.6155
INFO:root:249: Acc-tr: 100.00, Acc-val:   9.90, L-tr: 0.0007, L-val: 11.4816
INFO:root:250: Acc-tr: 100.00, Acc-val:   9.81, L-tr: 0.0007, L-val: 11.6602
INFO:root:251: Acc-tr: 100.00, Acc-val:   9.91, L-tr: 0.0007, L-val: 11.7909
INFO:root:252: Acc-tr: 100.00, Acc-val:   9.79, L-tr: 0.0007, L-val: 11.8427
INFO:root:253: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0007, L-val: 11.7304
INFO:root:254: Acc-tr: 100.00, Acc-val:   9.79, L-tr: 0.0007, L-val: 11.5669
INFO:root:255: Acc-tr: 100.00, Acc-val:   9.84, L-tr: 0.0007, L-val: 11.8189
INFO:root:256: Acc-tr: 100.00, Acc-val:   9.84, L-tr: 0.0007, L-val: 11.5921
INFO:root:257: Acc-tr: 100.00, Acc-val:   9.75, L-tr: 0.0007, L-val: 11.7273
INFO:root:258: Acc-tr: 100.00, Acc-val:   9.81, L-tr: 0.0007, L-val: 11.9255
INFO:root:259: Acc-tr: 100.00, Acc-val:   9.85, L-tr: 0.0007, L-val: 11.7055
INFO:root:260: Acc-tr: 100.00, Acc-val:   9.81, L-tr: 0.0007, L-val: 11.6956
INFO:root:261: Acc-tr: 100.00, Acc-val:   9.89, L-tr: 0.0007, L-val: 11.6082
INFO:root:262: Acc-tr: 100.00, Acc-val:   9.76, L-tr: 0.0007, L-val: 11.8775
INFO:root:263: Acc-tr: 100.00, Acc-val:   9.79, L-tr: 0.0007, L-val: 11.7209
INFO:root:264: Acc-tr: 100.00, Acc-val:   9.77, L-tr: 0.0007, L-val: 11.7741
INFO:root:265: Acc-tr: 100.00, Acc-val:   9.91, L-tr: 0.0007, L-val: 12.0075
INFO:root:266: Acc-tr: 100.00, Acc-val:   9.70, L-tr: 0.0007, L-val: 11.7200
INFO:root:267: Acc-tr: 100.00, Acc-val:   9.82, L-tr: 0.0008, L-val: 11.7232
