INFO:root:Number of parameters: 369498
INFO:root:093: Acc-tr:  86.76, Acc-val:  13.90, L-tr: 0.3649, L-val: 5.5654
INFO:root:094: Acc-tr:  83.37, Acc-val:  13.40, L-tr: 0.5070, L-val: 6.2749
INFO:root:095: Acc-tr:  80.57, Acc-val:  12.51, L-tr: 0.5700, L-val: 6.1350
INFO:root:096: Acc-tr:  75.78, Acc-val:  12.74, L-tr: 0.7449, L-val: 6.4316
INFO:root:097: Acc-tr:  91.92, Acc-val:  13.21, L-tr: 0.2304, L-val: 5.4187
INFO:root:098: Acc-tr:  83.17, Acc-val:  14.21, L-tr: 0.4764, L-val: 5.6228
INFO:root:099: Acc-tr:  85.94, Acc-val:  13.13, L-tr: 0.3888, L-val: 6.1515
INFO:root:100: Acc-tr:  88.84, Acc-val:  13.98, L-tr: 0.3084, L-val: 5.2680
INFO:root:101: Acc-tr:  83.65, Acc-val:  12.76, L-tr: 0.4844, L-val: 5.7448
INFO:root:102: Acc-tr:  86.78, Acc-val:  13.44, L-tr: 0.3692, L-val: 6.1045
INFO:root:103: Acc-tr:  83.67, Acc-val:  13.62, L-tr: 0.4837, L-val: 5.6052
INFO:root:104: Acc-tr:  83.71, Acc-val:  14.44, L-tr: 0.4731, L-val: 5.5029
INFO:root:105: Acc-tr:  90.11, Acc-val:  13.68, L-tr: 0.2776, L-val: 5.6984
INFO:root:106: Acc-tr:  92.31, Acc-val:  14.01, L-tr: 0.2213, L-val: 5.4525
INFO:root:107: Acc-tr:  89.10, Acc-val:  13.92, L-tr: 0.3106, L-val: 6.0898
INFO:root:108: Acc-tr:  76.33, Acc-val:  11.86, L-tr: 0.7657, L-val: 6.4597
INFO:root:109: Acc-tr:  78.64, Acc-val:  13.10, L-tr: 0.6511, L-val: 6.1201
INFO:root:110: Acc-tr:  88.13, Acc-val:  13.50, L-tr: 0.3503, L-val: 6.0613
INFO:root:111: Acc-tr:  89.31, Acc-val:  13.14, L-tr: 0.2975, L-val: 5.8106
INFO:root:112: Acc-tr:  90.27, Acc-val:  13.37, L-tr: 0.2768, L-val: 5.5652
INFO:root:113: Acc-tr:  85.84, Acc-val:  12.97, L-tr: 0.4019, L-val: 5.4653
INFO:root:114: Acc-tr:  84.25, Acc-val:  12.51, L-tr: 0.4714, L-val: 6.7680
INFO:root:115: Acc-tr:  83.04, Acc-val:  12.93, L-tr: 0.4831, L-val: 5.7497
INFO:root:116: Acc-tr:  76.15, Acc-val:  14.11, L-tr: 0.7559, L-val: 6.3569
INFO:root:117: Acc-tr:  84.67, Acc-val:  13.01, L-tr: 0.4475, L-val: 6.0315
INFO:root:118: Acc-tr:  89.13, Acc-val:  11.98, L-tr: 0.3069, L-val: 5.7241
INFO:root:119: Acc-tr:  84.43, Acc-val:  12.86, L-tr: 0.4369, L-val: 6.2279
INFO:root:120: Acc-tr:  83.65, Acc-val:  12.32, L-tr: 0.4841, L-val: 5.6804
INFO:root:121: Acc-tr:  75.51, Acc-val:  12.47, L-tr: 0.7620, L-val: 6.2194
INFO:root:122: Acc-tr:  78.13, Acc-val:  11.77, L-tr: 0.6337, L-val: 6.7015
INFO:root:123: Acc-tr:  90.87, Acc-val:  11.74, L-tr: 0.2608, L-val: 5.6576
INFO:root:124: Acc-tr:  87.58, Acc-val:  12.24, L-tr: 0.3528, L-val: 6.1231
INFO:root:125: Acc-tr:  87.66, Acc-val:  14.05, L-tr: 0.3529, L-val: 5.9115
INFO:root:126: Acc-tr:  84.90, Acc-val:  12.01, L-tr: 0.4287, L-val: 5.8621
INFO:root:127: Acc-tr:  83.41, Acc-val:  12.25, L-tr: 0.4762, L-val: 5.6352
INFO:root:128: Acc-tr:  84.28, Acc-val:  13.99, L-tr: 0.4691, L-val: 5.8442
INFO:root:129: Acc-tr:  84.23, Acc-val:  13.84, L-tr: 0.4509, L-val: 5.9985
INFO:root:130: Acc-tr:  82.67, Acc-val:  13.17, L-tr: 0.5420, L-val: 6.0581
INFO:root:131: Acc-tr:  88.26, Acc-val:  13.01, L-tr: 0.3358, L-val: 5.6374
INFO:root:132: Acc-tr:  92.43, Acc-val:  13.03, L-tr: 0.2128, L-val: 5.6935
INFO:root:133: Acc-tr:  88.78, Acc-val:  13.26, L-tr: 0.3256, L-val: 5.8692
INFO:root:134: Acc-tr:  80.96, Acc-val:  12.42, L-tr: 0.5619, L-val: 6.7534
INFO:root:135: Acc-tr:  83.61, Acc-val:  13.13, L-tr: 0.4868, L-val: 6.4213
INFO:root:136: Acc-tr:  84.53, Acc-val:  13.28, L-tr: 0.4522, L-val: 6.1253
INFO:root:137: Acc-tr:  79.30, Acc-val:  11.50, L-tr: 0.6477, L-val: 7.6497
INFO:root:138: Acc-tr:  74.41, Acc-val:  11.30, L-tr: 0.7748, L-val: 6.5063
INFO:root:139: Acc-tr:  86.55, Acc-val:  13.03, L-tr: 0.3768, L-val: 6.0480
INFO:root:140: Acc-tr:  86.29, Acc-val:  12.84, L-tr: 0.3818, L-val: 6.5360
INFO:root:141: Acc-tr:  88.41, Acc-val:  11.88, L-tr: 0.3268, L-val: 5.8401
INFO:root:142: Acc-tr:  81.49, Acc-val:  13.76, L-tr: 0.5620, L-val: 6.1946
INFO:root:143: Acc-tr:  86.11, Acc-val:  11.46, L-tr: 0.3872, L-val: 6.1451
INFO:root:144: Acc-tr:  85.00, Acc-val:  11.79, L-tr: 0.4307, L-val: 6.9600
INFO:root:145: Acc-tr:  86.36, Acc-val:  12.74, L-tr: 0.3888, L-val: 6.4817
INFO:root:146: Acc-tr:  78.10, Acc-val:  12.05, L-tr: 0.6760, L-val: 6.7935
INFO:root:147: Acc-tr:  89.75, Acc-val:  12.87, L-tr: 0.2874, L-val: 5.5991
INFO:root:148: Acc-tr:  83.13, Acc-val:  11.22, L-tr: 0.4822, L-val: 6.3176
INFO:root:149: Acc-tr:  83.68, Acc-val:  12.18, L-tr: 0.4946, L-val: 6.4409
INFO:root:150: Acc-tr:  99.80, Acc-val:  12.97, L-tr: 0.0287, L-val: 5.7243
