INFO:root:Number of parameters: 369498
INFO:root:145: Acc-tr:  78.75, Acc-val:  10.25, L-tr: 0.6289, L-val: 5.3058
INFO:root:146: Acc-tr:  62.85, Acc-val:  10.15, L-tr: 1.1870, L-val: 6.1831
INFO:root:147: Acc-tr:  78.43, Acc-val:  10.23, L-tr: 0.6286, L-val: 5.4599
INFO:root:148: Acc-tr:  78.66, Acc-val:  10.33, L-tr: 0.6579, L-val: 5.3835
INFO:root:149: Acc-tr:  64.45, Acc-val:   9.74, L-tr: 1.1554, L-val: 6.1452
INFO:root:150: Acc-tr:  98.35, Acc-val:  10.21, L-tr: 0.1021, L-val: 5.2724
INFO:root:151: Acc-tr:  99.60, Acc-val:  10.27, L-tr: 0.0495, L-val: 5.7564
INFO:root:152: Acc-tr:  99.86, Acc-val:  10.31, L-tr: 0.0305, L-val: 6.1340
INFO:root:153: Acc-tr:  99.92, Acc-val:  10.36, L-tr: 0.0208, L-val: 6.4275
INFO:root:154: Acc-tr:  99.95, Acc-val:  10.42, L-tr: 0.0160, L-val: 6.6065
INFO:root:155: Acc-tr:  99.97, Acc-val:  10.23, L-tr: 0.0123, L-val: 6.7859
INFO:root:156: Acc-tr:  99.98, Acc-val:  10.17, L-tr: 0.0105, L-val: 6.9416
INFO:root:157: Acc-tr:  99.98, Acc-val:  10.45, L-tr: 0.0082, L-val: 7.0463
INFO:root:158: Acc-tr:  99.99, Acc-val:  10.37, L-tr: 0.0070, L-val: 7.1888
INFO:root:159: Acc-tr:  99.99, Acc-val:  10.23, L-tr: 0.0060, L-val: 7.3045
INFO:root:160: Acc-tr:  99.99, Acc-val:  10.42, L-tr: 0.0058, L-val: 7.3621
INFO:root:161: Acc-tr:  99.99, Acc-val:  10.39, L-tr: 0.0046, L-val: 7.4832
INFO:root:162: Acc-tr:  99.99, Acc-val:  10.22, L-tr: 0.0044, L-val: 7.5409
INFO:root:163: Acc-tr: 100.00, Acc-val:  10.37, L-tr: 0.0038, L-val: 7.5666
INFO:root:164: Acc-tr:  99.99, Acc-val:  10.36, L-tr: 0.0035, L-val: 7.6657
INFO:root:165: Acc-tr:  99.99, Acc-val:  10.34, L-tr: 0.0031, L-val: 7.7046
INFO:root:166: Acc-tr:  99.99, Acc-val:  10.36, L-tr: 0.0029, L-val: 7.7101
INFO:root:167: Acc-tr: 100.00, Acc-val:  10.53, L-tr: 0.0034, L-val: 7.7796
INFO:root:168: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0026, L-val: 7.7467
INFO:root:169: Acc-tr: 100.00, Acc-val:  10.20, L-tr: 0.0024, L-val: 7.8225
INFO:root:170: Acc-tr: 100.00, Acc-val:  10.29, L-tr: 0.0022, L-val: 7.8650
INFO:root:171: Acc-tr: 100.00, Acc-val:  10.22, L-tr: 0.0021, L-val: 7.8941
INFO:root:172: Acc-tr: 100.00, Acc-val:  10.34, L-tr: 0.0023, L-val: 7.8417
INFO:root:173: Acc-tr: 100.00, Acc-val:  10.25, L-tr: 0.0019, L-val: 7.9047
INFO:root:174: Acc-tr: 100.00, Acc-val:  10.29, L-tr: 0.0021, L-val: 7.9668
INFO:root:175: Acc-tr: 100.00, Acc-val:  10.24, L-tr: 0.0017, L-val: 7.9375
INFO:root:176: Acc-tr: 100.00, Acc-val:  10.28, L-tr: 0.0017, L-val: 7.9408
INFO:root:177: Acc-tr: 100.00, Acc-val:  10.24, L-tr: 0.0017, L-val: 7.9683
INFO:root:178: Acc-tr: 100.00, Acc-val:  10.11, L-tr: 0.0017, L-val: 7.9976
INFO:root:179: Acc-tr: 100.00, Acc-val:  10.11, L-tr: 0.0017, L-val: 7.9406
INFO:root:180: Acc-tr: 100.00, Acc-val:  10.11, L-tr: 0.0016, L-val: 7.9879
INFO:root:181: Acc-tr: 100.00, Acc-val:  10.18, L-tr: 0.0014, L-val: 8.0320
INFO:root:182: Acc-tr: 100.00, Acc-val:  10.23, L-tr: 0.0014, L-val: 8.0083
INFO:root:183: Acc-tr: 100.00, Acc-val:  10.06, L-tr: 0.0014, L-val: 8.0634
INFO:root:184: Acc-tr: 100.00, Acc-val:  10.18, L-tr: 0.0013, L-val: 8.0956
INFO:root:185: Acc-tr: 100.00, Acc-val:  10.34, L-tr: 0.0014, L-val: 8.0162
